FID_,CID,ano1991,ano1992,ano1993,ano1994,ano1995,ano1996,ano1997,ano1998,ano1999,ano2000,x,y
,1,0,0,0,0,0,0,0,0,0,0,-7.3192401,38.5405998
,2,0,0,0,0,0,0,0,0,0,0,-7.6355700,40.5022011
,3,0,0,0,0,0,0,0,0,0,0,-7.9027300,40.3418007
,4,0,0,0,0,0,0,0,0,0,0,-7.2565699,39.2571983
,5,0,0,0,0,0,0,0,0,0,0,-8.5037899,37.3445015
,6,0,0,0,0,0,0,0,0,1,0,-8.0597496,41.5620003
,7,0,0,0,0,0,0,0,0,0,0,-7.3268900,41.6608009
,8,0,0,0,0,0,0,0,0,0,0,-8.5011597,40.8712006
,9,0,0,0,0,0,0,0,0,0,0,-8.5939302,38.5452003
,10,0,0,0,0,0,0,0,0,0,0,-7.6187701,41.6729012
,11,0,0,0,0,0,0,0,0,0,0,-7.7267499,39.9058990
,12,0,0,0,0,0,0,0,0,0,0,-8.2169504,40.9402008
,13,0,0,0,0,0,0,0,0,0,0,-8.2662497,37.6889992
,14,0,0,0,0,0,0,0,0,0,0,-8.3072100,38.7868004
,15,0,0,0,0,0,0,0,0,0,0,-8.0867796,41.4903984
,16,0,0,0,0,0,0,0,0,0,0,-7.5397501,39.4361000
,17,0,0,0,0,0,0,0,0,0,0,-7.8635602,38.7994995
,18,0,0,0,0,0,0,0,0,0,0,-8.3672304,37.8877983
,19,0,0,0,0,0,0,0,0,0,0,-7.8896298,40.5269012
,20,0,0,0,0,0,0,0,0,0,0,-8.6511202,40.8395004
,21,1,0,0,0,0,0,0,0,1,0,-6.9743600,40.5816994
,22,0,0,0,0,0,0,0,0,0,0,-8.4830399,40.6110001
,23,0,0,0,0,0,0,0,0,0,0,-7.3308401,38.1088982
,24,0,0,0,0,0,0,0,0,0,0,-7.9932799,40.6991005
,25,0,0,0,0,0,0,0,0,0,0,-7.8683000,39.2728004
,26,0,0,0,0,0,0,0,0,0,0,-8.2227297,40.7066002
,27,0,0,0,0,0,0,0,0,0,0,-7.5677800,41.2775993
,28,0,0,0,0,0,0,0,0,0,0,-7.5367498,40.0312004
,29,0,0,0,1,0,0,0,0,0,0,-7.1774402,41.1096001
,30,0,0,0,0,0,0,0,0,0,0,-6.8748899,41.1720009
,31,0,0,0,0,0,0,0,0,0,0,-6.8200598,40.5470009
,32,0,0,0,0,0,0,0,0,0,0,-8.3552303,37.6973000
,33,0,0,0,0,0,0,0,0,0,0,-8.0544701,37.7209015
,34,0,0,0,0,0,0,0,0,0,0,-8.1864996,40.5791016
,35,0,0,0,0,0,0,0,0,0,0,-7.0547299,40.1733017
,36,0,0,0,0,0,0,0,0,0,0,-8.1666698,39.8928986
,37,0,0,0,0,0,0,0,0,0,0,-7.5468602,39.1515999
,38,0,0,0,0,0,0,0,0,0,0,-7.3138399,39.2462997
,39,0,0,0,0,0,0,0,0,0,0,-8.5162401,39.4524002
,40,0,0,0,0,0,0,0,0,0,0,-8.6217604,38.0192986
,41,0,0,0,0,0,0,0,0,0,0,-8.2301397,40.3518982
,42,0,0,0,0,0,0,0,0,0,0,-7.6227198,37.9952011
,43,1,0,0,0,0,0,0,0,1,1,-7.5566902,40.6683006
,44,0,0,0,0,0,0,0,0,0,0,-8.5447197,41.0437012
,45,0,0,0,0,0,0,0,0,0,0,-7.2684498,38.6183014
,46,0,0,0,0,0,0,0,0,0,0,-7.2967801,41.4987984
,47,0,0,0,0,0,0,0,0,0,0,-9.1583405,38.5135002
,48,0,0,0,0,0,0,0,0,0,0,-8.5708504,37.7293015
,49,0,0,0,0,0,0,0,0,0,0,-9.1899900,38.7304993
,50,0,0,0,0,0,0,0,0,0,0,-7.1171198,40.3754005
,51,0,0,0,0,0,0,0,0,0,0,-7.4055800,41.6903992
,52,0,0,0,0,0,0,0,0,0,0,-6.9441199,41.2407990
,53,0,0,0,0,0,0,0,0,0,0,-7.9946699,39.1809998
,54,0,0,0,0,0,0,0,0,0,0,-9.0097599,39.2755013
,55,0,0,0,0,0,0,0,0,1,0,-7.9037299,41.6687012
,56,0,0,0,0,0,0,0,0,0,0,-8.8696604,38.6811981
,57,0,0,0,0,0,1,0,0,0,1,-7.6896000,41.8596992
,58,0,0,0,0,0,0,0,0,0,0,-8.2845497,39.1995010
,59,0,0,0,0,0,0,0,0,0,0,-7.1627302,41.8560982
