N	Code	Decode	Total Length	Code Length	log2(N)
2700	0 1101 00	2700	9	7	11.398744
2701	00 1101 00 1	2701	12	9	11.399278
2702	00 1101 00 00	2702	13	10	11.399812
2703	00 1101 00 01	2703	13	10	11.400346
2704	00 1101 00 10	2704	13	10	11.400879
2705	00 1101 00 11	2705	13	10	11.401413
2706	00 1101 00 000	2706	14	11	11.401946
2707	00 1101 00 001	2707	14	11	11.402479
2708	00 1101 00 010	2708	14	11	11.403012
2709	00 1101 00 011	2709	14	11	11.403545
2710	0 00010001 1	2710	12	10	11.404077
2711	00 1101 00 101	2711	14	11	11.404609
2712	00 1101 00 110	2712	14	11	11.405141
2713	00 1101 00 111	2713	14	11	11.405673
2714	1 01010011100	2714	13	12	11.406205
2715	1 01010011101	2715	13	12	11.406736
2716	1 01010011110	2716	13	12	11.407268
2717	1 01010011111	2717	13	12	11.407799
2718	1 01010100000	2718	13	12	11.408330
2719	1 01010100001	2719	13	12	11.408860
2720	0 00010010 1	2720	12	10	11.409391
2721	1 01010100011	2721	13	12	11.409921
2722	1 01010100100	2722	13	12	11.410451
2723	1 01010100101	2723	13	12	11.410981
2724	1 01010100110	2724	13	12	11.411511
2725	1 01010100111	2725	13	12	11.412041
2726	1 01010101000	2726	13	12	11.412570
2727	1 01010101001	2727	13	12	11.413099
2728	1 01010101010	2728	13	12	11.413628
2729	1 01010101011	2729	13	12	11.414157
2730	0 00010011 1	2730	12	10	11.414685
2731	1 01010101101	2731	13	12	11.415214
2732	1 01010101110	2732	13	12	11.415742
2733	1 01010101111	2733	13	12	11.416270
2734	1 01010110000	2734	13	12	11.416798
2735	1 01010110001	2735	13	12	11.417325
2736	1 01010110010	2736	13	12	11.417853
2737	1 01010110011	2737	13	12	11.418380
2738	1 01010110100	2738	13	12	11.418907
2739	1 01010110101	2739	13	12	11.419434
2740	0 00010100 1	2740	12	10	11.419960
2741	1 01010110111	2741	13	12	11.420487
2742	1 01010111000	2742	13	12	11.421013
2743	1 01010111001	2743	13	12	11.421539
2744	1 01010111010	2744	13	12	11.422065
2745	1 01010111011	2745	13	12	11.422590
2746	1 01010111100	2746	13	12	11.423116
2747	1 01010111101	2747	13	12	11.423641
2748	1 01010111110	2748	13	12	11.424166
2749	1 01010111111	2749	13	12	11.424691
2750	0 00010101 1	2750	12	10	11.425216
2751	1 01011000001	2751	13	12	11.425740
2752	1 01011000010	2752	13	12	11.426265
2753	1 01011000011	2753	13	12	11.426789
2754	1 01011000100	2754	13	12	11.427313
2755	1 01011000101	2755	13	12	11.427837
2756	1 01011000110	2756	13	12	11.428360
2757	1 01011000111	2757	13	12	11.428884
2758	1 01011001000	2758	13	12	11.429407
2759	1 01011001001	2759	13	12	11.429930
2760	0 00010110 1	2760	12	10	11.430453
2761	1 01011001011	2761	13	12	11.430975
2762	1 01011001100	2762	13	12	11.431498
2763	1 01011001101	2763	13	12	11.432020
2764	1 01011001110	2764	13	12	11.432542
2765	1 01011001111	2765	13	12	11.433064
2766	1 01011010000	2766	13	12	11.433585
2767	1 01011010001	2767	13	12	11.434107
2768	1 01011010010	2768	13	12	11.434628
2769	1 01011010011	2769	13	12	11.435149
2770	0 00010111 1	2770	12	10	11.435670
2771	1 01011010101	2771	13	12	11.436191
2772	1 01011010110	2772	13	12	11.436712
2773	1 01011010111	2773	13	12	11.437232
2774	1 01011011000	2774	13	12	11.437752
2775	1 01011011001	2775	13	12	11.438272
2776	1 01011011010	2776	13	12	11.438792
2777	1 01011011011	2777	13	12	11.439311
2778	1 01011011100	2778	13	12	11.439831
2779	1 01011011101	2779	13	12	11.440350
2780	0 00011000 1	2780	12	10	11.440869
2781	1 01011011111	2781	13	12	11.441388
2782	1 01011100000	2782	13	12	11.441907
2783	1 01011100001	2783	13	12	11.442425
2784	1 01011100010	2784	13	12	11.442943
2785	1 01011100011	2785	13	12	11.443462
2786	1 01011100100	2786	13	12	11.443980
2787	01 1110 00 111	2787	14	11	11.444497
2788	01 1110 00 110	2788	14	11	11.445015
2789	01 1110 00 101	2789	14	11	11.445532
2790	0 00011001 1	2790	12	10	11.446049
2791	01 1110 00 011	2791	14	11	11.446566
2792	01 1110 00 010	2792	14	11	11.447083
2793	01 1110 00 001	2793	14	11	11.447600
2794	01 1110 00 000	2794	14	11	11.448116
2795	01 1110 00 11	2795	13	10	11.448633
2796	01 1110 00 10	2796	13	10	11.449149
2797	01 1110 00 01	2797	13	10	11.449665
2798	01 1110 00 00	2798	13	10	11.450180
2799	01 1110 00 1	2799	12	9	11.450696
2800	0 1110 00	2800	9	7	11.451211
2801	00 1110 00 1	2801	12	9	11.451726
2802	00 1110 00 00	2802	13	10	11.452241
2803	00 1110 00 01	2803	13	10	11.452756
2804	00 1110 00 10	2804	13	10	11.453271
2805	00 1110 00 11	2805	13	10	11.453785
2806	00 1110 00 000	2806	14	11	11.454299
2807	00 1110 00 001	2807	14	11	11.454813
2808	00 1110 00 010	2808	14	11	11.455327
2809	00 1110 00 011	2809	14	11	11.455841
2810	0 00011011 1	2810	12	10	11.456354
2811	00 1110 00 101	2811	14	11	11.456868
