auctionid,bid,bidtime,bidder,bidderrate,openbid,price
8211480551,52.99,1.201505,hanna1104,94,49.99,311.6
8211480551,50.99,1.203843,wrufai1,90,49.99,311.6
8211480551,101.99,1.204433,wrufai1,90,49.99,311.6
8211480551,57,1.708437,newberryhwt,14,49.99,311.6
8211480551,144.48,3.089711,miloo2005,3,49.99,311.6
8211480551,170,4.187963,fzakhour,5,49.99,311.6
8211480551,189,5.24581,bbcboi2007,1,49.99,311.6
8211480551,298.48,5.863021,miloo2005,3,49.99,311.6
8211480551,200,6.334815,laxwarrior07,12,49.99,311.6
8211480551,250,6.548796,aladdin987,292,49.99,311.6
8211480551,306.6,6.633935,pkfury,11,49.99,311.6
8211480551,311.6,6.997338,wrufai1,90,49.99,311.6
8211763485,10,0.682731,wolomaster,0,9.99,139.3
8211763485,11,0.761713,deucekdp,0,9.99,139.3
8211763485,11,1.951273,wolomaster,0,9.99,139.3
8211763485,13.37,1.951701,wolomaster,0,9.99,139.3
8211763485,21,2.111597,davgig,21,9.99,139.3
8211763485,15,2.436134,deucekdp,0,9.99,139.3
8211763485,18,2.436424,deucekdp,0,9.99,139.3
8211763485,20,2.436644,deucekdp,0,9.99,139.3
8211763485,25,2.437211,deucekdp,0,9.99,139.3
8211763485,35,2.583125,davgig,21,9.99,139.3
8211763485,30,3.175382,deucekdp,0,9.99,139.3
8211763485,40,3.176632,deucekdp,0,9.99,139.3
8211763485,37.5,3.31978,msu_cat,0,9.99,139.3
8211763485,75,3.746366,smittieboy,0,9.99,139.3
8211763485,42,4.841065,babygirljrt,0,9.99,139.3
8211763485,45,4.841134,babygirljrt,0,9.99,139.3
8211763485,82.5,5.828449,msu_cat,0,9.99,139.3
8211763485,99,6.079873,andresedu,10,9.99,139.3
8211763485,85,6.819942,musiceducator,62,9.99,139.3
8211763485,87,6.820081,musiceducator,62,9.99,139.3
8211763485,89,6.820185,musiceducator,62,9.99,139.3
8211763485,95,6.820289,musiceducator,62,9.99,139.3
8211763485,100,6.820382,musiceducator,62,9.99,139.3
8211763485,110,6.937222,merkysrx3,5,9.99,139.3
8211763485,118.5,6.966088,lonewolf08068,6,9.99,139.3
8211763485,127.75,6.966481,lonewolf08068,6,9.99,139.3
8211763485,115,6.974213,cowboysok,2,9.99,139.3
8211763485,125,6.974444,cowboysok,2,9.99,139.3
8211763485,136.8,6.980532,lonewolf08068,6,9.99,139.3
8211763485,130,6.984873,merkysrx3,5,9.99,139.3
8211763485,139.3,6.99978,waxhawsam,116,9.99,139.3
8211851222,55,6.021053,smoothy43m,69,50,161
8211851222,51,6.378843,ahmadf316,1,50,161
8211851222,54,6.379225,ahmadf316,1,50,161
8211851222,59.66,6.499745,dang800,5,50,161
8211851222,57,6.654282,txrang10,98,50,161
8211851222,60,6.654583,txrang10,98,50,161
8211851222,65,6.713646,em19680,23,50,161
