"","X","sex","yob","g2000","g2002","g2004","p2000","p2002","p2004","voting","hawthorne","civicduty","neighbors","self","control"
"1",1,0,1941,1,1,1,0,1,0,0,0,1,0,0,0
"2",2,1,1947,1,1,1,0,1,0,0,0,1,0,0,0
"3",3,1,1982,1,1,1,0,1,0,1,1,0,0,0,0
"4",4,1,1950,1,1,1,0,1,0,1,1,0,0,0,0
"5",5,0,1951,1,1,1,0,1,0,1,1,0,0,0,0
"6",6,1,1959,1,1,1,0,1,0,1,0,0,0,0,1
"7",7,0,1956,1,1,1,0,1,0,1,0,0,0,0,1
"8",8,0,1981,0,0,1,0,0,0,0,0,0,0,0,1
"9",9,1,1968,0,0,1,0,1,0,0,0,0,0,0,1
"10",10,0,1967,1,1,1,0,1,0,0,0,0,0,0,1
"11",11,0,1941,1,1,1,0,0,1,1,0,0,0,0,1
"12",12,0,1945,1,1,1,0,0,0,0,1,0,0,0,0
"13",13,1,1949,1,1,1,0,1,0,1,1,0,0,0,0
"14",14,1,1969,1,0,1,0,0,1,0,0,0,0,0,1
"15",15,0,1961,1,1,1,0,1,1,1,0,0,0,0,1
"16",16,1,1967,1,1,1,1,1,1,1,0,0,0,0,1
"17",17,1,1957,1,1,1,0,0,0,0,0,0,0,1,0
"18",18,0,1955,0,0,1,0,0,0,0,0,0,0,1,0
"19",19,1,1943,1,1,1,0,1,0,1,0,0,0,0,1
"20",20,0,1939,1,1,1,0,1,0,1,0,0,1,0,0
"21",21,0,1940,1,1,1,1,1,1,1,0,0,0,1,0
"22",22,1,1971,1,1,1,1,1,0,1,0,0,0,0,1
"23",23,0,1968,1,1,1,1,1,0,1,0,0,0,0,1
"24",24,0,1979,0,0,1,0,0,0,0,0,0,0,0,1
"25",25,1,1959,1,1,1,0,1,0,0,0,0,0,0,1
"26",26,1,1983,0,1,1,0,1,0,0,0,0,0,0,1
"27",27,0,1954,1,1,1,0,0,0,0,0,0,0,0,1
"28",28,0,1965,1,1,1,1,1,0,0,0,1,0,0,0
"29",29,1,1965,1,1,1,0,1,0,0,0,1,0,0,0
"30",30,1,1958,1,1,1,1,0,0,0,0,0,0,0,1
"31",31,1,1932,1,1,1,1,0,0,0,0,0,1,0,0
"32",32,0,1946,1,1,1,1,0,0,0,0,0,1,0,0
"33",33,0,1949,1,1,1,0,1,1,0,0,0,0,0,1
"34",34,1,1961,0,0,1,0,0,0,0,0,0,0,0,1
"35",35,1,1968,1,1,1,0,0,0,0,0,0,0,0,1
"36",36,1,1973,1,1,1,1,1,0,0,0,0,0,1,0
"37",37,0,1961,1,1,1,0,1,0,0,0,0,0,0,1
"38",38,1,1959,1,1,1,0,0,0,0,0,0,0,0,1
"39",39,0,1956,1,1,1,0,0,1,1,0,0,1,0,0
"40",40,1,1965,1,1,1,0,0,1,1,0,0,1,0,0
"41",41,0,1985,0,0,1,0,0,0,1,0,0,1,0,0
"42",42,1,1955,1,1,1,1,0,1,0,0,0,0,0,1
"43",43,0,1962,1,1,1,0,1,1,0,0,0,0,1,0
"44",44,1,1970,0,1,1,0,1,1,0,0,0,0,0,1
"45",45,0,1963,0,1,1,0,0,0,0,0,0,0,0,1
"46",46,0,1969,1,1,1,1,1,0,0,0,1,0,0,0
"47",47,0,1948,1,1,1,0,1,1,1,0,0,0,0,1
"48",48,0,1953,1,1,1,1,1,0,0,1,0,0,0,0
"49",49,1,1959,1,1,1,0,1,0,0,0,0,0,0,1
"50",50,0,1971,1,1,1,0,1,0,1,0,1,0,0,0
"51",51,1,1968,1,1,1,0,1,0,1,0,1,0,0,0
"52",52,1,1961,1,0,1,1,0,1,0,0,0,0,0,1
"53",53,1,1969,1,1,1,0,0,0,0,0,0,0,0,1
"54",54,0,1970,1,1,1,0,1,0,0,0,0,0,0,1
"55",55,1,1951,1,0,1,0,0,0,0,0,0,0,0,1
"56",56,0,1950,1,1,1,0,1,0,1,0,0,0,0,1
"57",57,1,1915,1,1,1,1,1,0,0,0,0,0,0,1
"58",58,1,1957,1,1,1,0,0,0,0,1,0,0,0,0
"59",59,0,1948,1,1,1,0,0,0,0,1,0,0,0,0
"60",60,0,1984,0,1,1,0,0,0,0,1,0,0,0,0
"61",61,0,1970,1,0,1,0,0,0,0,0,0,1,0,0
"62",62,1,1965,0,0,1,0,0,0,0,0,0,1,0,0
"63",63,0,1924,1,0,1,1,1,0,0,0,0,1,0,0
"64",64,1,1947,1,1,1,0,0,0,0,0,0,0,0,1
"65",65,0,1941,1,1,1,0,1,0,1,0,0,0,0,1
"66",66,0,1960,1,1,1,0,0,1,1,0,0,0,0,1
"67",67,1,1964,1,0,1,0,0,1,1,0,0,0,0,1
"68",68,0,1947,1,1,1,0,1,0,0,0,0,0,1,0
"69",69,1,1950,1,1,1,0,1,0,0,0,0,0,1,0
"70",70,1,1967,1,0,1,0,0,0,1,0,0,0,0,1
"71",71,0,1968,1,1,1,0,0,0,0,0,0,0,0,1
"72",72,1,1986,0,0,1,0,0,0,0,0,0,0,0,1
"73",73,0,1948,1,1,1,0,1,0,0,0,0,0,0,1
"74",74,1,1946,1,1,1,1,0,0,0,0,1,0,0,0
"75",75,1,1948,1,0,1,0,0,0,0,1,0,0,0,0
"76",76,0,1938,1,1,1,0,1,1,1,1,0,0,0,0
"77",77,0,1963,1,0,1,0,1,1,1,0,1,0,0,0
"78",78,0,1927,1,1,1,0,1,0,0,0,0,0,0,1
"79",79,1,1930,1,1,1,0,1,0,0,0,0,0,0,1
"80",80,0,1934,1,1,1,1,0,1,1,0,0,0,0,1
"81",81,1,1937,1,1,1,1,1,1,1,0,0,0,0,1
"82",82,0,1966,0,1,1,0,1,0,1,0,0,0,0,1
"83",83,1,1969,0,1,1,0,1,0,0,0,0,0,0,1
"84",84,0,1941,1,1,1,1,1,0,1,0,0,0,1,0
"85",85,1,1945,1,1,1,1,1,0,1,0,0,0,1,0
"86",86,0,1948,1,1,1,0,1,1,1,1,0,0,0,0
"87",87,0,1926,1,0,1,1,0,0,0,0,0,0,0,1
"88",88,0,1939,1,1,1,0,0,0,0,0,0,1,0,0
"89",89,0,1941,1,1,1,0,1,0,0,0,0,1,0,0
"90",90,1,1946,1,1,1,0,1,0,0,0,0,1,0,0
"91",91,1,1943,1,1,1,1,0,0,1,0,0,0,0,1
"92",92,0,1934,1,1,1,0,0,1,1,0,0,0,0,1
"93",93,0,1983,0,0,1,0,0,0,0,0,0,0,0,1
"94",94,1,1937,1,1,1,0,1,1,0,0,0,0,0,1
"95",95,1,1958,1,1,1,0,0,1,1,1,0,0,0,0
"96",96,0,1951,1,1,1,0,0,1,0,0,0,0,0,1
"97",97,0,1946,1,1,1,0,1,1,0,0,0,0,0,1
"98",98,1,1950,1,1,1,0,1,1,0,0,0,0,0,1
"99",99,0,1976,1,1,1,0,1,1,1,1,0,0,0,0
