"x" "y" "z"
875602.364110934 5426795.32586581 2012376.44203246
769210.072435595 4511358.27246391 907592.147217186
293724.479935691 4946070.64190348 4083779.88389038
-519970.466318181 6497541.36634894 51761.052464468
-42667.7293591722 4814214.71152034 169463.042223168
1685096.45586097 5002757.56449278 730351.298944691
-135659.398799909 5686735.79636059 315524.824620779
-1017945.64674049 3702043.07688473 75620.4269378779
66448.9396524804 6538335.99006799 1649895.51221771
-76881.3667285829 3804952.27946736 517121.893205545
