Rider,Rank15,Country,YearBorn,Height,Weight,YearsPro,Events14,BuckOuts14,Rides14,CupPoints14,Rank14,RidePer14,RidesPer_45bull_14,Rides90pts_14,Wins14,Top5_14,Top10_14,FinalPoints14,Earnings14,Events13,BuckOuts13,Rides13,CupPoints13,Rank13,RidePer13,RidesPer_45bull_13,Rides90pts_13,Wins13,Top5_13,Top10_13,FinalPoints13,Earnings13,Events12,BuckOuts12,Rides12,CupPoints12,Rank12,RidePer12,Wins12,Top5_12,Top10_12,FinalPoints12,Earnings12
Joao Ricardo Vieira,1,BRA,1984,66,163,3,28,93,41,9520.25,2,0.4409,0,5,2,10,14,1152.75,328120.96,22,72,35,8748.73,3,0.4861,0.375,4,3,5,9,1990.75,466585.11,0,0,0,0,0,0,0,0,0,0,0
Matt Triplett,2,USA,1991,67,160,4,28,86,33,7493.58,3,0.3837,0.2,2,0,4,11,2743.25,258025.8,9,26,11,2827.43,26,0.4231,1,1,0,1,2,1257.25,89377.51,0,0,0,0,0,0,0,0,0,0,0
J.B. Mauney,3,USA,1987,70,140,10,22,63,25,4973.5,4,0.3968,0.5,4,2,5,5,4553.5,497597.99,26,90,47,10399.25,1,0.5222,0.2667,8,5,11,14,5296.25,1810710.75,26,82,40,9273.25,8,0.49,3,8,13,287,313340.27
Kaique Pacheco,4,BRA,1994,68,145,2,1,1,0,1671.87,0,0,0,0,0,0,0,0,32977.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Schaper,5,USA,1990,73,160,6,15,41,17,3240.25,31,0.4146,0,0,1,1,3,83.5,77426.3,24,66,22,4304.41,25,0.3333,0,0,0,2,2,0,58577.22,0,0,0,0,0,0,0,0,0,0,0
Valdiron de Oliveira,6,BRA,1979,72,170,9,28,81,29,5733.06,17,0.358,0,1,2,5,8,0,142892.53,19,53,25,5238.25,16,0.4717,0,0,0,6,6,435.5,107942.1,28,87,53,10608.25,4,0.61,1,10,14,559.5,208724.52
Guilherme Marchi,7,BRA,1982,70,180,16,28,90,41,8501.06,8,0.4556,0,2,1,6,15,86,271530.73,27,84,39,7959.57,4,0.4643,0,0,2,5,11,2323.75,241287.7,29,87,50,11542,2,0.57,2,9,12,2519.75,331421.67
Silvano Alves,8,BRA,1987,67,150,7,28,92,50,9004.06,1,0.5435,0.3333,1,0,7,12,3607,1422602.65,27,91,50,10937.75,2,0.5495,0.2,3,3,11,13,3780,625650.8,29,103,62,12201.75,1,0.6,2,8,18,1648,1464475.61
Reese Cates,9,USA,1989,68,135,9,12,30,8,1228.5,54,0.2667,0,0,0,1,2,0,12948.98,11,26,6,1863.12,42,0.2308,0,0,0,1,2,0,32106.37,5,10,3,428.5,53,0.3,0,0,1,0,27987.21
J.W. Harris,10,USA,1986,70,160,10,14,37,16,3123.25,9,0.4324,0.2,2,0,2,4,3736,224455.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stetson Lawrence,11,USA,1988,70,155,8,12,33,9,3530.54,29,0.2727,0,0,0,1,4,338.75,102127.68,9,18,2,2023.75,40,0.1111,0,0,0,0,2,0,42469.24,0,0,0,0,0,0,0,0,0,0,0
Mike Lee,12,USA,1983,68,140,14,26,77,32,8086.81,7,0.4156,0,0,2,7,9,548.5,242432.06,27,80,24,6710.37,10,0.3,0,1,1,2,6,84,181595.85,20,64,33,6088,13,0.52,1,5,7,1011.75,147952.34
Fabiano Vieira,13,BRA,1982,68,175,9,26,77,42,9008.62,5,0.5455,0,1,3,8,11,286.5,264592.67,16,47,22,5340.26,17,0.4681,0,1,2,3,7,83.75,131374.21,23,70,38,7677.25,10,0.54,2,5,11,171.75,191399.08
Cody Nance,14,USA,1987,68,162,9,28,84,30,6551.62,10,0.3571,0.125,0,3,5,9,297,186943.82,27,83,34,7089.79,5,0.4096,0,0,1,4,6,2790,262954.18,28,76,29,5068.25,16,0.38,1,4,7,322,131580.54
Ben Jones,15,AUS,1979,71,163,17,11,23,5,2262.08,41,0.2174,0,0,0,0,1,0,56310.78,25,66,19,3600.5,29,0.2879,0,1,0,2,6,388.5,70115.11,19,58,26,4840.75,18,0.45,0,5,7,0,115844.1
Cooper Davis,16,USA,1994,69,150,3,2,6,2,1512.75,47,0.3333,0,0,0,0,1,0,36741.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Byrne,17,CAN,1992,76,160,4,15,42,21,4642.04,14,0.5,0,0,0,4,5,1683.5,148664.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Proctor,19,USA,1985,68,165,10,1,3,1,136.75,61,0.3333,0,0,0,0,0,0,1000,21,66,26,6160.5,9,0.3939,0,2,2,6,8,821.25,221021.03,13,32,8,1387.5,35,0.25,0,0,3,0,52443.96
Renato Nunes,20,BRA,1981,67,135,11,26,75,25,4708.43,19,0.3333,0.3333,2,2,4,8,389,127841.67,25,62,21,4057,21,0.3387,0,1,0,3,6,674.75,107786.13,29,91,38,9859.75,6,0.42,1,5,12,3298.5,254709.57
Mason Lowe,21,USA,1993,71,155,3,2,4,1,884.37,56,0.25,0,0,0,0,0,0,19200.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gage Gay,22,USA,1994,66,145,3,24,75,25,6551.37,11,0.3333,0,2,1,4,9,212.75,183000.1,2,4,0,1829.08,0,0,0,0,0,0,0,0,55673.6,0,0,0,0,0,0,0,0,0,0,0
Chase Outlaw,23,USA,1992,65,150,4,23,66,19,5778.29,16,0.2879,0,1,1,2,6,98.5,183038.43,24,66,19,5863.5,13,0.2879,0,0,0,1,7,123.5,132423.79,23,64,21,4186.5,21,0.33,1,3,8,0,170203.48
Kasey Hayes,24,USA,1985,69,140,11,22,63,22,5002.75,20,0.3492,0.1667,1,0,2,8,79.25,88129.21,7,16,2,1957.58,41,0.125,0,0,0,0,1,0,42781.38,10,26,7,914.25,40,0.27,0,0,1,0,29116.33
L.J. Jenkins,25,USA,1987,70,140,10,27,83,32,6186.23,12,0.3855,0,0,1,2,7,500,148287.18,24,70,31,5994.79,8,0.4429,0,1,0,7,10,1514.25,155553.67,29,93,49,10621.25,3,0.53,1,10,13,1212.75,239935.66
Eduardo Aparecido,27,BRA,1990,68,160,4,27,78,37,6498.68,6,0.4744,0.3333,1,1,5,10,2674,209057.03,23,70,33,7377.9,7,0.4714,0,0,0,8,12,605.25,115571.82,0,0,0,0,0,0,0,0,0,0,0
Stormy Wing,28,USA,1989,66,145,6,25,70,21,4855.37,18,0.3,0,2,1,2,6,438.5,170960.34,20,54,14,3518.75,28,0.2593,0,1,0,1,5,491.25,95950.31,28,80,28,5062.5,17,0.35,0,5,7,83.25,93296.23
Ryan Dirteater,30,USA,1989,69,155,10,25,72,25,4541.12,13,0.3472,0,0,0,5,6,1830.25,124173.82,17,49,21,3504.12,14,0.4286,0.5,2,0,1,5,2316,122446.14,0,0,0,0,0,0,0,0,0,0,0
Bonner Bolton,31,USA,1987,71,175,9,1,3,2,772.12,58,0.6667,0,0,0,0,0,0,12321.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Mason,32,AUS,1987,68,154,7,5,10,1,1375.87,50,0.1,0,0,0,0,0,0,34219.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brady Sims,33,USA,1993,69,160,3,20,58,19,4011.12,24,0.3276,0,0,0,3,7,453.5,73726.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Duncan,35,USA,1987,68,155,10,26,63,17,3217.87,32,0.2698,0,0,0,4,5,0,53954,27,79,23,5224.18,19,0.2911,0,0,0,2,9,0,98729.74,22,62,18,3842.5,23,0.29,0,2,7,111.25,90687
Neil Holmes,36,USA,1985,68,145,7,4,11,6,1425.12,48,0.5455,0,0,0,1,2,0,21901.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Harr,39,USA,1990,70,165,7,5,12,1,2192.68,42,0.0833,0,0,0,0,0,0,55061.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robson Palermo,40,BRA,1983,66,120,10,14,38,14,2909.37,35,0.3684,0,0,0,1,5,0,40251.67,6,17,9,1847.5,43,0.5294,0,1,1,1,2,0,43835,19,57,30,9681.25,7,0.53,2,5,8,4189.25,466599.6
Luis Blanco,41,BRA,1986,68,175,5,4,9,1,2326.06,40,0.1111,0,0,0,0,0,0,48110.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachlan Richardson,44,AUS,1992,69,141,4,24,62,11,3128.12,30,0.1774,0,0,0,0,1,269.75,69424.93,25,62,11,3349.75,34,0.1774,0,0,0,2,3,0,75143.51,14,37,7,1408.75,34,0.19,1,1,2,0,90044.06
Claudio Crisostomo,46,BRA,1985,71,160,7,22,59,22,3727.25,27,0.3729,0,0,0,3,3,246.25,85744.55,6,19,11,3121.46,12,0.5789,0,0,1,1,1,2936.25,169809.54,0,0,0,0,0,0,0,0,0,0,0
Sean Willingham,47,USA,1981,70,140,16,21,60,22,4187,26,0.3667,0,1,1,1,4,0,86055.4,23,59,14,3701.62,31,0.2373,0,0,1,2,2,0,85999.99,11,25,5,793.75,43,0.2,0,0,2,0,21343.28
Thad Newell,51,USA,1985,71,165,5,1,1,0,370.62,0,0,0,0,0,0,0,0,10248.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Miller,52,USA,1992,66,165,1,4,7,1,1776.37,45,0.1429,0,0,0,0,0,0,51132.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Eguchi,53,BRA,1989,67,135,7,27,72,26,5796.81,15,0.3611,0.1429,2,2,3,6,116.25,163829.78,26,71,33,8233.55,6,0.4648,0,0,2,8,12,0,212829.3,29,84,39,7699.25,9,0.46,1,9,11,571,226255.5
Austin Meier,55,USA,1987,71,165,10,12,28,6,1598,46,0.2143,0,0,0,0,1,0,33098.24,23,59,15,2838.12,36,0.2542,0,0,1,1,3,212,106302.84,29,91,49,10249.75,5,0.54,2,8,12,1773.25,311728.81
Jordan Hupp,58,USA,1985,60,188,10,20,56,16,3103.37,34,0.2857,0,0,0,1,3,84,64862.25,26,76,25,4756.5,20,0.3289,0,0,0,0,6,106.5,84804.61,23,61,23,3031.5,27,0.38,1,1,5,0,66814.33
Dakota Louis,62,USA,1992,72,160,4,1,3,1,900.08,55,0.3333,0,0,0,0,0,0,21905.87,1,3,0,105.37,0,0,0,0,0,0,0,0,846.04,0,0,0,0,0,0,0,0,0,0,0
David Kennedy,66,AUS,1984,69,176,7,1,2,1,1176.5,0,0.5,0,0,0,0,0,83.5,31521.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Robinson,66,USA,1979,68,150,17,24,61,16,2864.25,36,0.2623,0,0,0,1,2,0,48617.58,24,69,23,4693.37,23,0.3333,0.2,1,1,2,10,0,91788.36,16,38,9,1217.5,38,0.24,0,0,2,0,55617.33
Skeeter Kingsolver,70,USA,1989,70,165,7,1,2,0,565,0,0,0,0,0,0,0,0,11228.24,1,1,0,1210.25,0,0,0,0,0,0,0,0,25431.52,0,0,0,0,0,0,0,0,0,0,0
Scott Schiffner,75,CAN,1980,68,155,14,1,2,0,1369.62,0,0,0,0,0,0,0,0,141564.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Budd Williamson,77,AUS,1986,72,155,9,2,4,1,1874.66,44,0.25,0,0,0,0,0,0,46707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Faircloth,77,USA,1989,70,140,8,9,26,8,3111.18,33,0.3077,0,0,0,1,4,102.5,52432.68,5,10,3,1279.37,50,0.3,0,0,0,0,0,0,29816.59,0,0,0,0,0,0,0,0,0,0,0
Justin Granger,93,USA,1991,66,115,6,1,1,0,441.75,0,0,0,0,0,0,0,0,13477.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakota Beck,100,USA,1991,67,155,5,1,3,0,965.37,0,0,0,0,0,0,0,0,28223.89,3,8,0,501.12,0,0,0,0,0,0,0,0,10754.91,0,0,0,0,0,0,0,0,0,0,0
Harve Stewart,104,USA,1987,69,150,9,19,47,11,2422.66,38,0.234,0,0,0,0,4,0,42822.01,8,20,7,1678,44,0.35,0,0,0,0,1,0,25220.56,29,81,28,5523,15,0.35,1,4,6,186.5,150975.16
Brant Atwood,116,USA,1987,67,140,10,8,20,2,1404.5,49,0.1,0,0,0,0,0,0,24740.34,21,58,14,3159.7,33,0.2414,0.2,1,0,1,6,390.75,70178.54,1,4,1,261.75,65,0.25,0,0,1,0,22059.59
Ty Pozzobon,148,CAN,1991,69,135,6,22,54,16,3333.37,25,0.2963,0,0,0,2,3,925.5,127146.81,19,55,16,3653.5,30,0.2909,0,0,0,3,5,226.75,102374.46,26,78,28,4683.25,20,0.36,0,2,9,424,106451.16
Kody Lostroh,279,USA,1985,66,155,11,16,42,15,2940.5,23,0.3571,0,1,0,2,6,1579.25,100296.9,23,62,24,5177.18,18,0.3871,0.2,1,0,4,8,237.5,130261.83,23,61,23,4700,19,0.38,1,3,8,525,158470.75
Markus Mariluch,279,USA,1985,68,155,11,21,60,24,5036.37,22,0.4,0,1,0,5,6,0,74265.42,9,28,11,2744.12,35,0.3929,0,0,0,1,3,410.5,62769.42,8,20,5,554.25,49,0.25,0,0,0,0,28806.83
