"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes","justice","justiceName","vote","opinion","direction","majority","firstAgreement","secondAgreement"
"1791-001","1791-001-01","1791-001-01-01","1791-001-01-01-01-01",8/3/1791,6,"2 U.S. 401",,"1 L. Ed. 433","1791 U.S. LEXIS 189",1791,102,"Jay",,"WEST, PLS. IN ERR. VERSUS BARNES. et al.",8/2/1791,,501,,111,,13,,,0,431,,431,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,3,,4,403,"NULL",,1,1,5,0,1,"JJay",1,1,1,2,,
"1791-001","1791-001-01","1791-001-01-01","1791-001-01-01-01-02",8/3/1791,6,"2 U.S. 401",,"1 L. Ed. 433","1791 U.S. LEXIS 189",1791,102,"Jay",,"WEST, PLS. IN ERR. VERSUS BARNES. et al.",8/2/1791,,501,,111,,13,,,0,431,,431,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,3,,4,403,"NULL",,1,1,5,0,3,"WCushing",1,1,1,2,,
"1791-001","1791-001-01","1791-001-01-01","1791-001-01-01-01-03",8/3/1791,6,"2 U.S. 401",,"1 L. Ed. 433","1791 U.S. LEXIS 189",1791,102,"Jay",,"WEST, PLS. IN ERR. VERSUS BARNES. et al.",8/2/1791,,501,,111,,13,,,0,431,,431,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,3,,4,403,"NULL",,1,1,5,0,4,"JWilson",1,1,1,2,,
"1791-001","1791-001-01","1791-001-01-01","1791-001-01-01-01-04",8/3/1791,6,"2 U.S. 401",,"1 L. Ed. 433","1791 U.S. LEXIS 189",1791,102,"Jay",,"WEST, PLS. IN ERR. VERSUS BARNES. et al.",8/2/1791,,501,,111,,13,,,0,431,,431,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,3,,4,403,"NULL",,1,1,5,0,5,"JBlair",1,1,1,2,,
"1791-001","1791-001-01","1791-001-01-01","1791-001-01-01-01-05",8/3/1791,6,"2 U.S. 401",,"1 L. Ed. 433","1791 U.S. LEXIS 189",1791,102,"Jay",,"WEST, PLS. IN ERR. VERSUS BARNES. et al.",8/2/1791,,501,,111,,13,,,0,431,,431,,0,1,,1,1,9,0,0,0,0,90320,9,1,0,3,,4,403,"NULL",,1,1,5,0,6,"JIredell",1,1,1,2,,
"1791-002","1791-002-01","1791-002-01-01","1791-002-01-01-01-01",8/3/1791,2,"2 U.S. 401",,"1 L. Ed. 433","1791 U.S. LEXIS 190",1791,102,"Jay",,"VANSTOPHORST et al. VERSUS THE STATE OF MARYLAND",,,501,,28,25,15,,,0,,,,,0,1,9,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,5,0,1,"JJay",1,1,2,2,,
"1791-002","1791-002-01","1791-002-01-01","1791-002-01-01-01-02",8/3/1791,2,"2 U.S. 401",,"1 L. Ed. 433","1791 U.S. LEXIS 190",1791,102,"Jay",,"VANSTOPHORST et al. VERSUS THE STATE OF MARYLAND",,,501,,28,25,15,,,0,,,,,0,1,9,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,5,0,3,"WCushing",1,1,2,2,,
"1791-002","1791-002-01","1791-002-01-01","1791-002-01-01-01-03",8/3/1791,2,"2 U.S. 401",,"1 L. Ed. 433","1791 U.S. LEXIS 190",1791,102,"Jay",,"VANSTOPHORST et al. VERSUS THE STATE OF MARYLAND",,,501,,28,25,15,,,0,,,,,0,1,9,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,5,0,4,"JWilson",1,1,2,2,,
"1791-002","1791-002-01","1791-002-01-01","1791-002-01-01-01-04",8/3/1791,2,"2 U.S. 401",,"1 L. Ed. 433","1791 U.S. LEXIS 190",1791,102,"Jay",,"VANSTOPHORST et al. VERSUS THE STATE OF MARYLAND",,,501,,28,25,15,,,0,,,,,0,1,9,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,5,0,5,"JBlair",1,1,2,2,,
"1791-002","1791-002-01","1791-002-01-01","1791-002-01-01-01-05",8/3/1791,2,"2 U.S. 401",,"1 L. Ed. 433","1791 U.S. LEXIS 190",1791,102,"Jay",,"VANSTOPHORST et al. VERSUS THE STATE OF MARYLAND",,,501,,28,25,15,,,0,,,,,0,1,9,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,5,0,6,"JIredell",1,1,2,2,,
"1792-001","1792-001-01","1792-001-01-01","1792-001-01-01-01-01",2/14/1792,2,"2 U.S. 401",,"1 L. Ed. 433","1792 U.S. LEXIS 587",1792,102,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,9,0,0,0,0,90150,9,1,0,3,,6,600,,,1,1,6,0,1,"JJay",1,1,1,2,,
"1792-001","1792-001-01","1792-001-01-01","1792-001-01-01-01-02",2/14/1792,2,"2 U.S. 401",,"1 L. Ed. 433","1792 U.S. LEXIS 587",1792,102,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,9,0,0,0,0,90150,9,1,0,3,,6,600,,,1,1,6,0,3,"WCushing",1,1,1,2,,
"1792-001","1792-001-01","1792-001-01-01","1792-001-01-01-01-03",2/14/1792,2,"2 U.S. 401",,"1 L. Ed. 433","1792 U.S. LEXIS 587",1792,102,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,9,0,0,0,0,90150,9,1,0,3,,6,600,,,1,1,6,0,4,"JWilson",1,1,1,2,,
"1792-001","1792-001-01","1792-001-01-01","1792-001-01-01-01-04",2/14/1792,2,"2 U.S. 401",,"1 L. Ed. 433","1792 U.S. LEXIS 587",1792,102,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,9,0,0,0,0,90150,9,1,0,3,,6,600,,,1,1,6,0,5,"JBlair",1,1,1,2,,
"1792-001","1792-001-01","1792-001-01-01","1792-001-01-01-01-05",2/14/1792,2,"2 U.S. 401",,"1 L. Ed. 433","1792 U.S. LEXIS 587",1792,102,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,9,0,0,0,0,90150,9,1,0,3,,6,600,,,1,1,6,0,6,"JIredell",1,1,1,2,,
"1792-001","1792-001-01","1792-001-01-01","1792-001-01-01-01-06",2/14/1792,2,"2 U.S. 401",,"1 L. Ed. 433","1792 U.S. LEXIS 587",1792,102,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,9,0,0,0,0,90150,9,1,0,3,,6,600,,,1,1,6,0,7,"TJohnson",1,1,1,2,,
"1792-002","1792-002-01","1792-002-01-01","1792-002-01-01-01-01",8/7/1792,2,"2 U.S. 402",,"1 L. Ed. 433","1792 U.S. LEXIS 589",1792,103,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,6,0,1,"JJay",1,1,2,2,,
"1792-002","1792-002-01","1792-002-01-01","1792-002-01-01-01-02",8/7/1792,2,"2 U.S. 402",,"1 L. Ed. 433","1792 U.S. LEXIS 589",1792,103,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,6,0,3,"WCushing",1,1,2,2,,
"1792-002","1792-002-01","1792-002-01-01","1792-002-01-01-01-03",8/7/1792,2,"2 U.S. 402",,"1 L. Ed. 433","1792 U.S. LEXIS 589",1792,103,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,6,0,4,"JWilson",1,1,2,2,,
"1792-002","1792-002-01","1792-002-01-01","1792-002-01-01-01-04",8/7/1792,2,"2 U.S. 402",,"1 L. Ed. 433","1792 U.S. LEXIS 589",1792,103,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,6,0,5,"JBlair",1,1,2,2,,
"1792-002","1792-002-01","1792-002-01-01","1792-002-01-01-01-05",8/7/1792,2,"2 U.S. 402",,"1 L. Ed. 433","1792 U.S. LEXIS 589",1792,103,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,6,0,6,"JIredell",1,1,2,2,,
"1792-002","1792-002-01","1792-002-01-01","1792-002-01-01-01-06",8/7/1792,2,"2 U.S. 402",,"1 L. Ed. 433","1792 U.S. LEXIS 589",1792,103,"Jay",,"OSWALD, ADMINISTRATOR, VERSUS THE STATE OF NEW-YORK",,,102,,28,37,15,,,0,,,,,0,1,,1,1,1,0,1,0,0,90320,9,2,0,3,,4,403,"NULL",,1,1,6,0,7,"TJohnson",1,1,2,2,,
"1792-003","1792-003-01","1792-003-01-01","1792-003-01-01-01-01",8/11/1792,8,"2 U.S. 402",,"1 L. Ed. 433","1792 U.S. LEXIS 590",1792,103,"Jay",,"THE STATE OF GEORGIA VERSUS BRAILSFORD, et al.",8/9/1792,,28,13,195,,7,,,0,409,,409,,0,1,1,1,1,11,0,1,0,0,90370,9,2,0,7,4,6,600,,,1,1,4,2,1,"JJay",1,2,2,2,,
