term,petitioner,respondent,jurisdiction,caseOrigin,caseSource,certReason,issue,issueArea,vote
1956,113,102,1,111,23,10,100130,10,majority
1956,1,102,1,302,300,12,90310,9,majority
1956,184,27,2,104,104,1,80010,8,majority
1956,138,369,1,9,28,2,120020,12,majority
1956,195,3,2,300,300,1,40070,4,majority
1956,382,249,1,55,32,2,90120,9,majority
1956,249,382,1,26,26,11,90120,9,majority
1956,1,106,1,55,32,10,20110,2,majority
1956,176,28,2,302,300,1,100030,10,majority
1956,27,250,1,50,29,12,20250,2,majority
1956,27,100,2,58,58,1,80130,8,majority
1956,195,27,1,75,25,10,90090,9,majority
1956,195,27,1,3,3,11,90480,9,majority
1956,135,114,1,67,27,12,90330,9,majority
1956,27,240,1,3,3,2,120010,12,majority
1956,240,369,1,9,22,12,120010,12,majority
1956,174,27,1,129,29,12,80060,8,majority
1956,126,27,1,55,32,12,10210,1,majority
1956,27,238,1,60,25,12,90320,9,majority
1956,126,27,1,122,25,3,10390,1,majority
1956,145,116,1,302,300,12,80040,8,majority
1956,100,28,2,302,300,1,30190,3,majority
1956,27,100,2,79,79,1,10570,1,majority
1956,357,187,1,27,27,10,80010,8,majority
1956,100,28,1,300,300,11,10050,1,majority
1956,184,184,2,55,55,1,80010,8,majority
1956,231,145,1,97,22,3,70030,7,majority
1956,145,231,1,302,300,11,80040,8,majority
1956,145,231,1,66,27,11,80040,8,majority
1956,145,231,1,104,26,11,80040,8,majority
1956,145,116,1,96,22,12,80040,8,majority
1956,151,382,1,24,24,12,70080,7,majority
1956,27,249,2,81,81,1,30140,3,majority
1956,106,368,1,96,22,12,20110,2,majority
1956,371,151,1,51,29,12,70040,7,majority
1956,213,27,1,94,22,12,20320,2,majority
1956,240,369,1,9,29,12,120010,12,majority
1956,231,245,2,120,120,1,90130,9,majority
1956,151,4,2,300,300,1,100020,10,majority
1956,249,151,1,302,300,12,100020,10,majority
1956,249,151,1,302,300,12,100020,10,majority
1956,249,231,1,66,27,10,70160,7,majority
1956,186,27,1,116,26,12,80040,8,majority
1956,100,27,1,66,27,4,10160,1,majority
1956,106,368,1,96,22,12,20110,2,majority
1956,240,27,1,60,25,2,120010,12,majority
1956,382,249,1,22,22,3,70200,7,majority
1956,27,231,1,134,30,10,80130,8,majority
1956,249,159,1,108,29,10,70140,7,majority
1956,145,231,1,302,301,12,80040,8,majority
1956,145,231,1,0,25,12,80040,8,majority
1956,119,237,2,96,96,1,80220,8,majority
1956,240,369,1,9,26,12,120010,12,majority
1956,27,106,2,66,66,1,20110,2,majority
1956,102,176,1,50,29,11,80070,8,majority
1956,122,172,1,96,22,2,90140,9,majority
1956,28,3,1,302,300,12,20050,2,majority
1956,111,4,1,300,300,12,60030,6,majority
1956,111,28,1,300,300,10,60030,6,majority
1956,312,104,1,51,29,12,90120,9,majority
1956,231,145,1,55,32,12,80070,8,majority
1956,100,27,1,50,29,13,10050,1,majority
1956,145,231,1,302,301,12,80040,8,majority
1956,8,28,2,42,42,1,90030,9,majority
1956,405,4,1,25,25,12,80300,8,majority
1956,100,27,1,66,27,10,10490,1,majority
1956,240,369,1,86,28,11,120010,12,majority
1956,106,368,1,129,29,12,20110,2,majority
1956,116,231,2,80,80,1,80230,8,majority
1956,249,151,1,42,25,3,70200,7,majority
1956,151,249,1,80,21,12,70200,7,majority
1956,151,249,1,78,21,12,70200,7,majority
1956,28,8,1,66,27,2,80220,8,majority
1956,27,128,2,66,66,1,80010,8,majority
1956,100,27,1,122,25,12,10160,1,majority
1956,368,106,1,103,26,12,20110,2,majority
1956,368,106,1,81,26,12,20110,2,majority
1956,19,253,6,55,55,1,20240,2,majority
1956,237,185,1,51,29,12,90500,9,majority
1956,237,185,1,66,27,12,90500,9,majority
1956,100,27,1,96,22,11,10090,1,majority
1956,116,208,1,96,22,10,80050,8,majority
1956,126,28,1,50,29,11,40010,4,majority
1956,254,27,1,55,32,10,30050,3,majority
1956,254,28,2,302,300,1,30050,3,majority
1956,27,100,1,66,27,10,10460,1,majority
1956,111,27,1,75,25,10,60030,6,majority
1956,249,151,1,302,300,13,30010,3,majority
1956,27,100,1,109,23,2,120020,12,majority
1956,8,328,1,55,32,10,30120,3,majority
1956,252,3,2,301,300,1,80100,8,majority
1956,100,27,1,55,32,11,10570,1,majority
1956,168,253,1,302,300,12,40060,4,majority
1956,100,27,1,55,32,10,10370,1,majority
1956,19,233,2,66,66,1,80110,8,majority
1956,117,27,1,96,22,12,30200,3,majority
1956,27,28,9,0,0,1,90370,9,majority
1956,213,27,1,94,22,12,20370,2,majority
1956,145,231,1,302,300,12,80040,8,majority
1956,324,186,1,55,55,12,20240,2,majority
1956,208,27,1,80,21,10,80060,8,dissent
1956,100,27,1,96,22,11,10200,1,dissent
1956,16,184,1,66,27,3,90330,9,dissent
1956,254,19,2,302,300,1,10120,1,dissent
1956,126,27,1,83,28,10,10170,1,dissent
1956,111,27,1,101,28,12,10080,1,dissent
1956,216,216,1,50,29,11,80010,8,dissent
1956,249,382,1,32,32,10,70130,7,dissent
1956,186,27,1,110,23,3,20240,2,dissent
1956,186,27,1,60,25,12,20240,2,dissent
1956,159,27,1,126,24,10,80050,8,dissent
1956,100,28,1,302,300,12,90190,9,dissent
1956,117,19,2,302,300,1,30190,3,dissent
1957,145,231,1,302,300,12,80040,8,majority
1957,145,116,1,94,22,12,80040,8,majority
1957,369,105,1,25,25,2,80010,8,majority
1957,100,28,1,302,300,12,10200,1,majority
1957,100,27,1,0,24,12,10160,1,majority
1957,100,27,1,0,27,12,10160,1,majority
1957,182,249,1,121,25,10,90120,9,majority
1957,145,231,1,302,300,12,80040,8,majority
1957,254,27,1,51,29,12,10080,1,majority
1957,126,27,1,86,28,12,90480,9,majority
1957,245,27,2,115,115,1,80240,8,majority
1957,100,27,1,96,22,12,10050,1,majority
1957,100,27,1,52,30,12,10050,1,majority
1957,106,368,1,83,28,2,30060,3,majority
1957,145,151,1,302,300,13,100020,10,majority
1957,245,27,2,55,55,1,80240,8,majority
1957,126,28,1,302,300,10,10120,1,majority
1957,106,368,1,96,22,12,10330,1,majority
1957,366,231,2,79,79,1,90120,9,majority
1957,126,27,1,55,32,12,10170,1,majority
1957,166,200,1,302,301,10,40060,4,majority
1957,100,28,2,302,302,1,40020,4,majority
1957,27,100,1,66,27,10,10330,1,majority
1957,27,231,1,80,21,12,80060,8,majority
1957,28,28,9,0,0,1,90370,9,majority
1957,501,28,1,302,300,12,90160,9,majority
1957,106,27,1,133,27,12,20110,2,majority
1957,27,100,2,122,122,1,10600,1,majority
1957,231,28,2,66,66,1,80220,8,majority
1957,249,3,2,302,301,1,30010,3,majority
1957,501,28,1,302,300,12,90150,9,majority
1957,100,28,2,302,300,1,80110,8,majority
1957,198,4,2,302,300,1,80300,8,majority
1957,100,27,1,103,26,12,10020,1,majority
1957,24,126,1,51,29,12,10020,1,majority
1957,233,357,1,28,28,2,90120,9,majority
1957,119,237,2,96,96,1,80220,8,majority
1957,145,231,1,302,300,12,80040,8,majority
1957,145,116,1,109,23,12,80070,8,majority
1957,382,249,1,32,32,10,70100,7,majority
1957,104,104,1,0,32,12,90120,9,majority
1957,241,3,2,302,300,1,80100,8,majority
1957,27,3,2,302,300,1,80100,8,majority
1957,3,176,2,81,26,1,80100,8,majority
1957,4,27,2,50,50,1,100050,10,majority
1957,245,27,2,66,66,1,90120,9,majority
1957,116,145,1,96,22,12,80040,8,majority
1957,27,111,2,70,70,1,10420,1,majority
1957,186,306,1,55,32,12,20240,2,majority
1957,27,120,1,122,25,12,60010,6,majority
1957,27,100,1,80,21,12,10360,1,majority
1957,216,156,1,302,301,12,90180,9,majority
1957,185,237,1,72,30,12,90130,9,majority
1957,231,27,2,129,129,1,80010,8,majority
1957,369,240,1,9,27,12,120010,12,majority
1957,245,369,1,9,23,12,120010,12,majority
1957,245,27,1,117,26,12,120010,12,majority
1957,145,231,1,302,300,12,80040,8,majority
1957,189,3,2,302,300,1,80100,8,majority
1957,186,306,1,55,32,12,20240,2,majority
1957,106,1,1,50,29,10,20280,2,majority
1957,106,328,1,51,29,12,20280,2,majority
1957,27,240,1,94,22,3,90110,9,majority
1957,145,176,1,80,21,12,80040,8,majority
1957,106,27,1,94,22,12,20280,2,majority
1957,369,240,1,9,25,10,120010,12,majority
1957,106,368,1,58,25,12,20110,2,majority
